Timestamp,CPU,Memory,IO
2025-04-14 12:54:39,some avg10=14.91 avg60=9.15 avg300=6.06 total=22461700934,"some avg10=0.00 avg60=0.02 avg300=0.05 total=45240245
full avg10=0.00 avg60=0.01 avg300=0.04 total=31753218","some avg10=2.26 avg60=1.13 avg300=1.21 total=4194600264
full avg10=0.74 avg60=0.61 avg300=0.77 total=2197804330"
2025-04-14 12:54:40,some avg10=14.91 avg60=9.15 avg300=6.06 total=22461901504,"some avg10=0.00 avg60=0.02 avg300=0.05 total=45240245
full avg10=0.00 avg60=0.01 avg300=0.04 total=31753218","some avg10=2.26 avg60=1.13 avg300=1.21 total=4194627825
full avg10=0.74 avg60=0.61 avg300=0.77 total=2197817344"
2025-04-14 12:54:41,some avg10=15.47 avg60=9.44 avg300=6.14 total=22462047965,"some avg10=0.00 avg60=0.02 avg300=0.05 total=45240245
full avg10=0.00 avg60=0.01 avg300=0.04 total=31753218","some avg10=2.03 avg60=1.13 avg300=1.20 total=4194627825
full avg10=0.61 avg60=0.59 avg300=0.76 total=2197817344"
2025-04-14 12:54:42,some avg10=15.47 avg60=9.44 avg300=6.14 total=22462262693,"some avg10=0.00 avg60=0.02 avg300=0.05 total=45240245
full avg10=0.00 avg60=0.01 avg300=0.04 total=31753218","some avg10=2.03 avg60=1.13 avg300=1.20 total=4194628081
full avg10=0.61 avg60=0.59 avg300=0.76 total=2197817439"
2025-04-14 12:54:43,some avg10=15.93 avg60=9.72 avg300=6.22 total=22462461120,"some avg10=0.00 avg60=0.02 avg300=0.05 total=45240245
full avg10=0.00 avg60=0.01 avg300=0.04 total=31753218","some avg10=1.66 avg60=1.09 avg300=1.20 total=4194628081
full avg10=0.50 avg60=0.57 avg300=0.76 total=2197817439"
2025-04-14 12:54:44,some avg10=15.93 avg60=9.72 avg300=6.22 total=22462623914,"some avg10=0.00 avg60=0.02 avg300=0.05 total=45240245
full avg10=0.00 avg60=0.01 avg300=0.04 total=31753218","some avg10=1.66 avg60=1.09 avg300=1.20 total=4194628304
full avg10=0.50 avg60=0.57 avg300=0.76 total=2197817662"
2025-04-14 12:54:45,some avg10=16.30 avg60=9.99 avg300=6.31 total=22462819974,"some avg10=0.00 avg60=0.02 avg300=0.05 total=45240245
full avg10=0.00 avg60=0.01 avg300=0.04 total=31753218","some avg10=1.36 avg60=1.05 avg300=1.19 total=4194642167
full avg10=0.41 avg60=0.55 avg300=0.75 total=2197823126"
2025-04-14 12:54:46,some avg10=16.30 avg60=9.99 avg300=6.31 total=22463015502,"some avg10=0.00 avg60=0.02 avg300=0.05 total=45240245
full avg10=0.00 avg60=0.01 avg300=0.04 total=31753218","some avg10=1.36 avg60=1.05 avg300=1.19 total=4194642462
full avg10=0.41 avg60=0.55 avg300=0.75 total=2197823126"
2025-04-14 12:54:47,some avg10=16.79 avg60=10.28 avg300=6.39 total=22463225510,"some avg10=0.00 avg60=0.02 avg300=0.05 total=45240245
full avg10=0.00 avg60=0.01 avg300=0.04 total=31753218","some avg10=1.11 avg60=1.02 avg300=1.18 total=4194643016
full avg10=0.33 avg60=0.53 avg300=0.75 total=2197823635"
2025-04-14 12:54:48,some avg10=16.79 avg60=10.28 avg300=6.39 total=22463401525,"some avg10=0.00 avg60=0.02 avg300=0.05 total=45240245
full avg10=0.00 avg60=0.01 avg300=0.04 total=31753218","some avg10=1.11 avg60=1.02 avg300=1.18 total=4194643260
full avg10=0.33 avg60=0.53 avg300=0.75 total=2197823635"
2025-04-14 12:54:49,some avg10=17.19 avg60=10.57 avg300=6.48 total=22463585183,"some avg10=0.00 avg60=0.02 avg300=0.05 total=45240245
full avg10=0.00 avg60=0.01 avg300=0.04 total=31753218","some avg10=0.91 avg60=0.99 avg300=1.17 total=4194643260
full avg10=0.27 avg60=0.51 avg300=0.74 total=2197823635"
2025-04-14 12:54:50,some avg10=17.19 avg60=10.57 avg300=6.48 total=22463783419,"some avg10=0.00 avg60=0.02 avg300=0.05 total=45240245
full avg10=0.00 avg60=0.01 avg300=0.04 total=31753218","some avg10=0.91 avg60=0.99 avg300=1.17 total=4194655147
full avg10=0.27 avg60=0.51 avg300=0.74 total=2197823816"
2025-04-14 12:54:51,some avg10=17.52 avg60=10.85 avg300=6.56 total=22464007700,"some avg10=0.00 avg60=0.02 avg300=0.05 total=45240245
full avg10=0.00 avg60=0.01 avg300=0.03 total=31753218","some avg10=0.74 avg60=0.95 avg300=1.16 total=4194655147
full avg10=0.22 avg60=0.50 avg300=0.73 total=2197823816"
2025-04-14 12:54:52,some avg10=17.52 avg60=10.85 avg300=6.56 total=22464204957,"some avg10=0.00 avg60=0.02 avg300=0.05 total=45240245
full avg10=0.00 avg60=0.01 avg300=0.03 total=31753218","some avg10=0.74 avg60=0.95 avg300=1.16 total=4194655433
full avg10=0.22 avg60=0.50 avg300=0.73 total=2197823922"
2025-04-14 12:54:53,some avg10=17.97 avg60=11.14 avg300=6.66 total=22464401667,"some avg10=0.00 avg60=0.02 avg300=0.05 total=45240245
full avg10=0.00 avg60=0.01 avg300=0.03 total=31753218","some avg10=0.61 avg60=0.92 avg300=1.15 total=4194655433
full avg10=0.18 avg60=0.48 avg300=0.73 total=2197823922"
2025-04-14 12:54:54,some avg10=17.97 avg60=11.14 avg300=6.66 total=22464602013,"some avg10=0.00 avg60=0.02 avg300=0.05 total=45240245
full avg10=0.00 avg60=0.01 avg300=0.03 total=31753218","some avg10=0.61 avg60=0.92 avg300=1.15 total=4194655433
full avg10=0.18 avg60=0.48 avg300=0.73 total=2197823922"
2025-04-14 12:54:55,some avg10=18.15 avg60=11.40 avg300=6.74 total=22464827946,"some avg10=0.00 avg60=0.01 avg300=0.05 total=45240245
full avg10=0.00 avg60=0.01 avg300=0.03 total=31753218","some avg10=0.50 avg60=0.89 avg300=1.15 total=4194666083
full avg10=0.14 avg60=0.46 avg300=0.72 total=2197828447"
2025-04-14 12:54:56,some avg10=18.15 avg60=11.40 avg300=6.74 total=22465046300,"some avg10=0.00 avg60=0.01 avg300=0.05 total=45240245
full avg10=0.00 avg60=0.01 avg300=0.03 total=31753218","some avg10=0.50 avg60=0.89 avg300=1.15 total=4194666083
full avg10=0.14 avg60=0.46 avg300=0.72 total=2197828447"
2025-04-14 12:54:57,some avg10=18.85 avg60=11.75 avg300=6.85 total=22465256009,"some avg10=0.00 avg60=0.01 avg300=0.05 total=45240245
full avg10=0.00 avg60=0.00 avg300=0.03 total=31753218","some avg10=0.41 avg60=0.86 avg300=1.14 total=4194666330
full avg10=0.12 avg60=0.45 avg300=0.72 total=2197828447"
2025-04-14 12:54:58,some avg10=18.85 avg60=11.75 avg300=6.85 total=22465459786,"some avg10=0.00 avg60=0.01 avg300=0.05 total=45240245
full avg10=0.00 avg60=0.00 avg300=0.03 total=31753218","some avg10=0.41 avg60=0.86 avg300=1.14 total=4194666330
full avg10=0.12 avg60=0.45 avg300=0.72 total=2197828447"
2025-04-14 12:54:59,some avg10=19.06 avg60=12.02 avg300=6.94 total=22465667002,"some avg10=0.00 avg60=0.01 avg300=0.05 total=45240245
full avg10=0.00 avg60=0.00 avg300=0.03 total=31753218","some avg10=0.33 avg60=0.83 avg300=1.13 total=4194666628
full avg10=0.10 avg60=0.43 avg300=0.71 total=2197828614"
2025-04-14 12:55:00,some avg10=19.06 avg60=12.02 avg300=6.94 total=22465889843,"some avg10=0.00 avg60=0.01 avg300=0.05 total=45240245
full avg10=0.00 avg60=0.00 avg300=0.03 total=31753218","some avg10=0.33 avg60=0.83 avg300=1.13 total=4194678028
full avg10=0.10 avg60=0.43 avg300=0.71 total=2197829330"
