Timestamp,CPU,Memory,IO
2025-04-14 12:51:35,some avg10=13.12 avg60=10.34 avg300=3.41 total=22443586114,"some avg10=0.02 avg60=0.07 avg300=0.06 total=45054847
full avg10=0.02 avg60=0.06 avg300=0.05 total=31631416","some avg10=0.34 avg60=1.75 avg300=1.11 total=4191433453
full avg10=0.17 avg60=1.02 avg300=0.78 total=2195887993"
2025-04-14 12:51:36,some avg10=12.01 avg60=10.23 avg300=3.43 total=22443624434,"some avg10=0.02 avg60=0.07 avg300=0.06 total=45054847
full avg10=0.02 avg60=0.05 avg300=0.05 total=31631416","some avg10=0.28 avg60=1.69 avg300=1.10 total=4191433453
full avg10=0.14 avg60=0.99 avg300=0.78 total=2195887993"
2025-04-14 12:51:37,some avg10=12.01 avg60=10.23 avg300=3.43 total=22443929878,"some avg10=0.02 avg60=0.07 avg300=0.06 total=45054847
full avg10=0.02 avg60=0.05 avg300=0.05 total=31631416","some avg10=0.28 avg60=1.69 avg300=1.10 total=4191433719
full avg10=0.14 avg60=0.99 avg300=0.78 total=2195887993"
2025-04-14 12:51:38,some avg10=13.46 avg60=10.55 avg300=3.55 total=22444067401,"some avg10=0.01 avg60=0.07 avg300=0.06 total=45054847
full avg10=0.01 avg60=0.05 avg300=0.05 total=31631416","some avg10=0.22 avg60=1.63 avg300=1.09 total=4191477078
full avg10=0.11 avg60=0.96 avg300=0.77 total=2195914579"
2025-04-14 12:51:39,some avg10=13.46 avg60=10.55 avg300=3.55 total=22444110011,"some avg10=0.01 avg60=0.07 avg300=0.06 total=45054847
full avg10=0.01 avg60=0.05 avg300=0.05 total=31631416","some avg10=0.22 avg60=1.63 avg300=1.09 total=4191565725
full avg10=0.11 avg60=0.96 avg300=0.77 total=2195963549"
2025-04-14 12:51:40,some avg10=11.74 avg60=10.33 avg300=3.55 total=22444130648,"some avg10=0.01 avg60=0.06 avg300=0.06 total=45059780
full avg10=0.01 avg60=0.05 avg300=0.05 total=31634889","some avg10=1.27 avg60=1.77 avg300=1.12 total=4191572727
full avg10=0.63 avg60=1.02 avg300=0.79 total=2195968674"
2025-04-14 12:51:41,some avg10=11.74 avg60=10.33 avg300=3.55 total=22444304799,"some avg10=0.01 avg60=0.06 avg300=0.06 total=45059780
full avg10=0.01 avg60=0.05 avg300=0.05 total=31634889","some avg10=1.27 avg60=1.77 avg300=1.12 total=4191572981
full avg10=0.63 avg60=1.02 avg300=0.79 total=2195968852"
2025-04-14 12:51:42,some avg10=12.15 avg60=10.45 avg300=3.62 total=22444492173,"some avg10=0.01 avg60=0.06 avg300=0.06 total=45059780
full avg10=0.01 avg60=0.05 avg300=0.05 total=31634889","some avg10=1.04 avg60=1.72 avg300=1.12 total=4191572981
full avg10=0.52 avg60=0.99 avg300=0.78 total=2195968852"
2025-04-14 12:51:43,some avg10=12.15 avg60=10.45 avg300=3.62 total=22444536382,"some avg10=0.01 avg60=0.06 avg300=0.06 total=45059780
full avg10=0.01 avg60=0.05 avg300=0.05 total=31634889","some avg10=1.04 avg60=1.72 avg300=1.12 total=4191583244
full avg10=0.52 avg60=0.99 avg300=0.78 total=2195973151"
2025-04-14 12:51:44,some avg10=11.22 avg60=10.34 avg300=3.64 total=22444564461,"some avg10=0.00 avg60=0.06 avg300=0.06 total=45059780
full avg10=0.00 avg60=0.05 avg300=0.05 total=31634889","some avg10=1.94 avg60=1.86 avg300=1.15 total=4191722041
full avg10=1.15 avg60=1.09 avg300=0.81 total=2196068833"
